                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.85398,                0.52533,                 0.9055,                 0.7502,                0.73156,                0.76155,                0.52997,                0.84678,                 0.5209,                0.91764,               0.001486,               0.001486,               0.001486
                     88,                0.84988,                0.52339,                 0.9047,                0.76604,                0.71965,                 0.7628,                0.53237,                0.84516,                0.51811,                0.91606,               0.001387,               0.001387,               0.001387
                     89,                0.84916,                0.52306,                0.90437,                0.76128,                0.73394,                0.76331,                0.53342,                0.84607,                 0.5168,                0.91628,               0.001288,               0.001288,               0.001288
                     90,                 0.8433,                0.51679,                0.90165,                0.75798,                0.73498,                0.76438,                0.53458,                0.84553,                0.51651,                0.91536,               0.001189,               0.001189,               0.001189
                     91,                0.83246,                0.50286,                0.89316,                0.74621,                0.74354,                0.76151,                0.53071,                0.85031,                0.51785,                0.91548,                0.00109,                0.00109,                0.00109
                     92,                0.81077,                0.49119,                0.88772,                0.75243,                0.73885,                0.76368,                 0.5325,                0.85184,                0.51494,                0.91441,               0.000991,               0.000991,               0.000991
                     93,                0.80935,                0.48929,                0.88735,                0.75298,                0.73273,                0.76497,                0.53301,                0.85171,                0.51603,                0.91614,               0.000892,               0.000892,               0.000892
                     94,                0.80199,                0.48499,                 0.8857,                0.76478,                0.73298,                0.76751,                 0.5346,                0.84888,                0.51369,                0.91716,               0.000793,               0.000793,               0.000793
                     95,                0.79737,                0.48319,                0.88385,                0.76006,                0.73192,                0.76917,                0.53611,                0.84744,                0.51354,                0.91631,               0.000694,               0.000694,               0.000694
                     96,                0.79169,                0.47964,                0.88194,                0.76267,                0.72737,                0.77015,                0.53645,                0.84694,                0.51363,                0.91597,               0.000595,               0.000595,               0.000595
                     97,                0.78752,                0.47684,                0.88026,                0.75222,                0.73055,                0.76805,                0.53636,                0.84675,                0.51335,                0.91486,               0.000496,               0.000496,               0.000496
                     98,                0.78252,                0.47405,                0.87867,                0.76608,                0.72573,                0.76655,                 0.5343,                0.84634,                0.51206,                0.91377,               0.000397,               0.000397,               0.000397
                     99,                0.78158,                0.47079,                0.87953,                0.77324,                0.72187,                0.76611,                0.53493,                0.84435,                 0.5109,                0.91246,               0.000298,               0.000298,               0.000298
                    100,                0.77832,                0.47013,                0.87883,                0.76665,                0.72294,                0.76793,                0.53426,                0.84431,                0.51107,                0.91244,               0.000199,               0.000199,               0.000199
